user_id,x_m,y_m,z_m,demand
1,550,101,22,1
2,800,860,6,1.25
3,521,70,16,1.5
4,844,821,11,1.75
5,749,656,32,2
6,767,853,37,1
7,396,312,25,1.25
8,740,899,6,1.5
9,791,799,36,1.75
10,886,829,35,2
11,543,106,23,1
12,785,858,32,1.25
13,648,773,13,1.5
14,758,823,33,1.75
15,719,805,13,2
16,723,825,16,1
17,479,167,19,1.25
18,839,914,12,1.5
19,738,833,36,1.75
20,641,842,41,2
21,796,744,37,1
22,895,841,13,1.25
23,785,874,12,1.5
24,750,800,36,1.75
25,721,914,9,2
26,850,831,11,1
27,746,898,10,1.25
28,395,134,27,1.5
29,355,284,27,1.75
30,532,41,25,2
31,477,52,20,1
32,703,751,35,1.25
33,771,879,36,1.5
34,729,856,33,1.75
35,674,774,15,2
36,404,106,21,1
37,518,88,27,1.25
38,648,888,11,1.5
39,724,882,10,1.75
40,688,965,0,2
41,1,174,0,1
42,273,333,6,1.25
43,54,449,12,1.5
44,111,613,24,1.75
45,508,697,18,2
46,387,714,0,1
47,154,247,24,1.25
48,237,852,12,1.5
49,161,687,0,1.75
50,992,586,24,2
