user_id,x_m,y_m,z_m,demand
1,545,181,35,1
2,301,81,64,1.25
3,861,791,24,1.5
4,557,62,31,1.75
5,887,504,10,2
6,685,458,18,1
7,393,970,121,1.25
8,507,425,14,1.5
9,754,702,24,1.75
10,647,508,9,2
11,446,209,31,1
12,608,118,39,1.25
13,419,302,58,1.5
14,693,613,9,1.75
15,650,464,10,2
16,507,478,15,1
17,502,121,61,1.25
18,282,827,116,1.5
19,717,846,18,1.75
20,514,242,59,2
21,534,792,122,1
22,650,95,41,1.25
23,706,107,36,1.5
24,749,739,27,1.75
25,418,307,62,2
26,386,724,121,1
27,442,887,122,1.25
28,822,861,24,1.5
29,419,799,120,1.75
30,402,177,53,2
31,738,573,12,1
32,568,149,60,1.25
33,543,388,20,1.5
34,344,688,119,1.75
35,862,699,22,2
36,679,255,59,1
37,502,216,35,1.25
38,623,691,11,1.5
39,568,202,34,1.75
40,398,685,125,2
41,624,498,12,1
42,399,718,118,1.25
43,875,861,25,1.5
44,711,312,35,1.75
45,381,139,63,2
46,344,843,119,1
47,437,896,118,1.25
48,521,59,35,1.5
49,521,612,8,1.75
50,752,618,13,2
51,501,745,119,1
52,495,206,61,1.25
53,383,45,60,1.5
54,532,34,60,1.75
55,769,753,22,2
56,598,211,64,1
57,355,746,124,1.25
58,726,627,11,1.5
59,657,616,6,1.75
60,690,210,38,2
61,711,816,19,1
62,840,786,21,1.25
63,698,54,37,1.5
64,471,286,58,1.75
65,847,731,18,2
66,649,578,11,1
67,572,342,65,1.25
68,647,628,10,1.5
69,692,0,37,1.75
70,690,906,23,2
71,772,851,29,1
72,763,656,23,1.25
73,544,882,118,1.5
74,474,298,58,1.75
75,682,525,9,2
76,788,703,13,1
77,470,796,121,1.25
78,726,653,7,1.5
79,633,124,34,1.75
80,619,0,36,2
81,686,591,8,1
82,586,180,39,1.25
83,391,882,114,1.5
84,686,515,12,1.75
85,415,852,121,2
86,374,827,129,1
87,391,853,121,1.25
88,739,713,26,1.5
89,776,747,22,1.75
90,574,141,66,2
91,374,917,121,1
92,619,9,37,1.25
93,597,612,19,1.5
94,808,194,35,1.75
95,491,837,123,2
96,397,762,124,1
97,615,425,14,1.25
98,790,889,21,1.5
99,459,830,118,1.75
100,740,788,25,2
101,578,830,112,1
102,632,582,13,1.25
103,603,162,40,1.5
104,301,719,118,1.75
105,519,315,36,2
106,765,910,28,1
107,714,668,11,1.25
108,457,289,62,1.5
109,540,15,34,1.75
110,410,787,121,2
111,721,748,25,1
112,665,225,36,1.25
113,675,124,39,1.5
114,834,740,26,1.75
115,473,246,57,2
116,416,836,122,1
117,518,244,59,1.25
118,550,204,64,1.5
119,716,791,28,1.75
120,384,775,116,2
121,564,98,59,1
122,908,756,29,1.25
123,855,837,23,1.5
124,468,729,117,1.75
125,253,782,125,2
126,620,504,15,1
127,343,867,120,1.25
128,810,838,22,1.5
129,664,574,13,1.75
130,674,586,11,2
131,901,840,26,1
132,724,622,13,1.25
133,500,773,123,1.5
134,530,155,60,1.75
135,487,401,63,2
136,697,825,27,1
137,747,858,28,1.25
138,781,459,9,1.5
139,873,831,25,1.75
140,664,664,24,2
141,508,788,119,1
142,692,501,16,1.25
143,475,291,63,1.5
144,512,327,62,1.75
145,766,725,24,2
146,569,154,56,1
147,407,100,55,1.25
148,758,747,22,1.5
149,418,234,55,1.75
150,923,871,29,2
151,619,198,39,1
152,535,718,123,1.25
153,539,63,64,1.5
154,612,305,60,1.75
155,720,666,14,2
156,661,689,9,1
157,676,557,9,1.25
158,688,590,18,1.5
159,828,777,26,1.75
160,624,225,42,2
161,750,647,12,1
