user_id,x_m,y_m,z_m,demand
1,115,705,118,1
2,814,607,23,1.25
3,829,615,25,1.5
4,496,842,119,1.75
5,656,372,24,2
6,470,488,0,1
7,581,869,119,1.25
8,596,842,123,1.5
9,514,544,0,1.75
10,610,637,60,2
11,568,847,60,1
12,482,525,0,1.25
13,458,832,121,1.5
14,529,794,123,1.75
15,679,771,117,2
16,605,826,118,1
17,195,761,116,1.25
18,326,601,0,1.5
19,480,861,119,1.75
20,746,307,94,2
21,294,667,119,1
22,535,835,122,1.25
23,625,819,123,1.5
24,706,806,60,1.75
25,731,357,92,2
26,625,762,63,1
27,424,997,115,1.25
28,831,388,90,1.5
29,776,542,21,1.75
30,446,500,0,2
31,293,571,127,1
32,464,642,0,1.25
33,842,503,23,1.5
34,791,307,86,1.75
35,495,821,119,2
36,457,559,0,1
37,657,867,60,1.25
38,356,775,120,1.5
39,625,787,62,1.75
40,181,666,120,2
41,352,633,0,1
42,324,575,0,1.25
43,495,794,59,1.5
44,558,868,120,1.75
45,684,490,26,2
46,376,492,0,1
47,140,836,119,1.25
48,404,823,118,1.5
49,124,693,125,1.75
50,429,604,0,2
51,432,431,0,1
52,153,702,120,1.25
53,743,391,86,1.5
54,569,811,57,1.75
55,804,550,21,2
56,137,795,121,1
57,804,413,24,1.25
58,235,664,115,1.5
59,519,540,0,1.75
60,887,378,90,2
61,669,812,60,1
62,517,770,114,1.25
63,546,770,125,1.5
64,840,322,94,1.75
65,682,795,58,2
66,350,444,0,1
67,607,865,60,1.25
68,143,762,117,1.5
69,869,536,20,1.75
70,604,605,0,2
71,243,579,115,1
72,784,274,85,1.25
73,413,784,119,1.5
74,173,737,123,1.75
75,14,667,119,2
76,671,951,57,1
77,797,454,21,1.25
78,99,750,123,1.5
79,559,726,122,1.75
80,469,761,118,2
81,47,771,120,1
82,627,916,64,1.25
83,761,840,60,1.5
84,652,892,62,1.75
85,829,400,28,2
86,415,575,0,1
87,868,589,27,1.25
88,715,575,27,1.5
89,563,808,127,1.75
90,152,685,121,2
91,135,669,117,1
92,548,837,124,1.25
93,986,409,90,1.5
94,240,741,118,1.75
95,557,886,120,2
96,871,366,95,1
97,462,607,0,1.25
98,373,655,0,1.5
99,305,586,0,1.75
100,169,758,121,2
101,241,779,120,1
102,771,345,89,1.25
103,627,771,59,1.5
104,210,723,119,1.75
105,693,957,63,2
106,587,878,62,1
107,788,566,25,1.25
108,803,572,28,1.5
109,179,796,116,1.75
110,917,298,94,2
111,365,668,0,1
112,388,567,0,1.25
113,696,507,23,1.5
114,825,233,90,1.75
115,432,542,0,2
116,570,555,20,1
117,833,447,25,1.25
118,73,708,116,1.5
119,571,850,58,1.75
120,525,735,118,2
121,702,491,28,1
122,134,567,123,1.25
123,466,543,0,1.5
124,394,526,0,1.75
125,225,559,120,2
126,148,637,121,1
127,501,890,119,1.25
128,545,913,58,1.5
129,849,300,89,1.75
130,890,558,32,2
131,383,549,0,1
132,568,824,124,1.25
133,200,663,116,1.5
134,153,752,120,1.75
135,479,799,120,2
136,782,679,63,1
137,324,674,0,1.25
138,652,887,64,1.5
139,609,916,62,1.75
140,501,714,114,2
141,96,595,126,1
142,519,795,119,1.25
143,432,587,0,1.5
144,571,752,119,1.75
145,816,512,26,2
146,565,770,63,1
147,119,733,120,1.25
148,362,432,0,1.5
149,659,938,58,1.75
150,198,731,117,2
151,468,561,0,1
152,922,438,91,1.25
153,339,520,0,1.5
154,530,710,121,1.75
155,749,826,61,2
156,437,811,60,1
157,94,797,119,1.25
158,814,600,25,1.5
159,463,592,0,1.75
160,229,702,117,2
161,894,319,88,1
162,537,870,59,1.25
163,489,849,118,1.5
164,813,590,28,1.75
165,691,588,28,2
166,578,872,123,1
167,760,543,18,1.25
168,846,457,25,1.5
169,701,532,23,1.75
170,503,1000,62,2
171,355,592,0,1
172,593,909,58,1.25
173,511,821,122,1.5
174,824,520,21,1.75
175,623,840,57,2
176,531,899,63,1
177,552,675,0,1.25
178,610,797,57,1.5
179,748,201,87,1.75
180,536,441,23,2
181,0,690,122,1
182,412,439,0,1.25
183,749,439,19,1.5
184,451,704,128,1.75
185,664,825,57,2
186,524,831,120,1
187,437,834,124,1.25
188,683,381,22,1.5
189,480,590,0,1.75
190,786,461,23,2
191,44,662,125,1
192,518,815,123,1.25
193,81,693,114,1.5
194,177,702,120,1.75
195,520,537,0,2
196,255,479,0,1
197,112,655,122,1.25
198,546,861,122,1.5
199,786,373,92,1.75
200,477,480,0,2
201,531,926,118,1
202,222,779,121,1.25
203,746,336,88,1.5
204,469,595,0,1.75
205,722,536,26,2
206,816,521,26,1
207,545,1000,60,1.25
208,85,766,126,1.5
209,903,215,90,1.75
210,465,816,121,2
211,157,730,122,1
212,186,651,119,1.25
213,58,564,120,1.5
214,571,874,63,1.75
215,803,249,95,2
216,573,700,127,1
217,485,837,117,1.25
218,522,789,116,1.5
219,379,533,0,1.75
220,301,623,115,2
221,453,812,124,1
222,779,477,92,1.25
223,354,611,0,1.5
224,749,388,22,1.75
225,807,291,89,2
226,536,950,128,1
227,472,879,121,1.25
228,618,904,56,1.5
229,875,524,26,1.75
230,401,386,0,2
231,307,570,0,1
232,531,689,119,1.25
233,558,897,126,1.5
234,607,815,57,1.75
235,453,485,0,2
236,551,917,61,1
237,500,771,116,1.25
238,601,729,125,1.5
239,498,558,0,1.75
240,479,640,0,2
241,673,932,60,1
242,215,728,120,1.25
243,881,442,86,1.5
244,101,828,115,1.75
245,842,459,23,2
246,634,857,120,1
247,697,369,91,1.25
248,737,504,22,1.5
249,526,936,120,1.75
250,790,438,87,2
251,474,575,0,1
252,295,707,117,1.25
253,418,872,60,1.5
254,438,514,0,1.75
255,602,683,0,2
256,816,279,89,1
257,661,575,0,1.25
258,708,784,120,1.5
259,707,882,55,1.75
260,742,575,29,2
261,824,454,88,1
262,502,647,0,1.25
263,54,636,121,1.5
264,830,575,24,1.75
265,185,608,121,2
266,461,427,0,1
267,509,806,126,1.25
268,952,220,90,1.5
269,384,610,0,1.75
270,511,785,127,2
271,619,850,55,1
272,688,347,96,1.25
273,637,511,0,1.5
274,363,675,0,1.75
275,333,393,0,2
276,456,556,0,1
277,913,121,0,1.25
278,924,801,0,1.5
279,312,486,18,1.75
280,769,799,0,2
281,79,797,0,1
282,115,429,24,1.25
283,54,172,18,1.5
284,614,306,0,1.75
285,38,570,0,2
286,391,299,18,1
287,854,721,0,1.25
288,46,98,18,1.5
289,271,118,18,1.75
290,604,720,0,2
291,124,186,0,1
292,163,284,24,1.25
293,861,218,24,1.5
294,271,403,0,1.75
295,696,300,18,2
296,959,887,0,1
297,965,921,0,1.25
298,979,915,0,1.5
299,982,34,12,1.75
300,671,844,0,2
301,144,450,6,1
302,523,490,0,1.25
303,283,874,0,1.5
304,433,531,0,1.75
305,890,583,0,2
306,774,350,18,1
307,912,312,0,1.25
308,591,639,18,1.5
309,5,145,0,1.75
310,10,181,0,2
311,180,189,0,1
312,653,127,24,1.25
313,932,173,18,1.5
314,696,676,0,1.75
315,945,531,0,2
316,105,89,0,1
317,759,208,12,1.25
318,900,760,6,1.5
