user_id,x_m,y_m,z_m,demand
1,782,286,58,1
2,598,325,61,1.25
3,170,822,58,1.5
4,452,147,57,1.75
5,160,317,35,2
6,408,323,59,1
7,0,343,31,1.25
8,335,914,61,1.5
9,311,713,60,1.75
10,146,769,60,2
11,307,883,60,1
12,486,305,55,1.25
13,531,147,60,1.5
14,194,337,34,1.75
15,412,710,61,2
16,277,422,36,1
17,358,733,62,1.25
18,145,306,36,1.5
19,372,280,58,1.75
20,210,253,31,2
21,135,337,35,1
22,539,147,61,1.25
23,241,289,35,1.5
24,461,250,61,1.75
25,264,889,64,2
26,735,416,63,1
27,612,207,60,1.25
28,546,162,54,1.5
29,452,327,59,1.75
30,266,802,58,2
31,502,148,63,1
32,528,218,59,1.25
33,556,215,63,1.5
34,244,829,61,1.75
35,245,887,61,2
36,273,784,63,1
37,351,757,62,1.25
38,53,821,58,1.5
39,91,349,35,1.75
40,120,408,38,2
41,323,782,61,1
42,183,377,41,1.25
43,208,619,59,1.5
44,81,348,36,1.75
45,444,243,61,2
46,130,163,40,1
47,502,184,57,1.25
48,494,161,59,1.5
49,394,804,58,1.75
50,599,173,60,2
51,612,59,58,1
52,558,193,63,1.25
53,683,304,60,1.5
54,18,181,38,1.75
55,187,108,40,2
56,172,754,60,1
57,413,236,64,1.25
58,223,390,34,1.5
59,278,941,60,1.75
60,92,309,36,2
61,187,840,60,1
62,474,312,61,1.25
63,98,360,40,1.5
64,597,124,61,1.75
65,655,214,60,2
66,128,228,37,1
67,190,250,37,1.25
68,267,710,58,1.5
69,220,737,64,1.75
70,521,252,65,2
71,78,380,32,1
72,356,387,56,1.25
73,525,188,55,1.5
74,298,821,59,1.75
75,181,220,34,2
76,551,303,59,1
77,103,214,37,1.25
78,573,255,56,1.5
79,58,285,39,1.75
80,74,316,37,2
81,539,308,60,1
82,139,334,38,1.25
83,201,681,55,1.5
84,454,242,60,1.75
85,479,299,63,2
86,302,651,60,1
87,519,205,58,1.25
88,532,220,63,1.5
89,181,418,33,1.75
90,151,902,61,2
91,337,831,62,1
92,37,385,37,1.25
93,89,456,41,1.5
94,321,867,60,1.75
95,159,261,31,2
96,174,295,36,1
97,553,227,62,1.25
98,142,335,36,1.5
99,433,184,62,1.75
100,117,227,37,2
101,519,276,59,1
102,224,803,66,1.25
103,316,864,60,1.5
104,636,327,62,1.75
105,537,163,64,2
106,101,299,30,1
107,175,297,37,1.25
108,364,895,61,1.5
109,661,79,60,1.75
110,164,355,37,2
111,271,772,59,1
112,347,794,64,1.25
113,148,370,30,1.5
114,250,803,62,1.75
115,72,289,38,2
116,435,272,57,1
117,545,269,63,1.25
118,548,214,62,1.5
119,358,913,58,1.75
120,84,289,29,2
121,563,218,53,1
122,243,858,60,1.25
123,252,860,56,1.5
124,636,247,62,1.75
125,488,124,64,2
126,134,282,39,1
127,585,212,55,1.25
128,103,380,41,1.5
129,523,257,60,1.75
