user_id,x_m,y_m,z_m,demand
1,592,674,60,1
2,670,267,118,1.25
3,612,718,67,1.5
4,461,618,124,1.75
5,581,208,119,2
6,827,454,123,1
7,577,619,58,1.25
8,281,262,114,1.5
9,281,327,122,1.75
10,728,353,119,2
11,634,647,60,1
12,737,337,121,1.25
13,329,309,114,1.5
14,258,268,121,1.75
15,733,686,60,2
16,255,328,118,1
17,489,765,58,1.25
18,663,385,120,1.5
19,776,413,119,1.75
20,585,653,61,2
21,495,322,119,1
22,563,663,58,1.25
23,302,327,120,1.5
24,497,692,61,1.75
25,538,441,123,2
26,726,792,55,1
27,721,664,57,1.25
28,350,188,118,1.5
29,570,813,58,1.75
30,756,389,119,2
31,675,282,126,1
32,632,614,65,1.25
33,607,635,63,1.5
34,288,238,119,1.75
35,648,771,64,2
36,357,281,122,1
37,213,162,116,1.25
38,635,719,64,1.5
39,205,278,122,1.75
40,110,288,24,2
41,356,141,18,1
42,328,710,18,1.25
43,441,673,0,1.5
44,811,844,18,1.75
45,626,459,0,2
46,238,306,18,1
47,102,791,0,1.25
48,64,845,0,1.5
49,53,426,0,1.75
50,10,2,24,2
