user_id,x_m,y_m,z_m,demand
1,136,608,60,1
2,164,656,66,1.25
3,870,707,116,1.5
4,179,683,62,1.75
5,897,748,123,2
6,206,547,57,1
7,147,266,38,1.25
8,114,554,66,1.5
9,833,761,118,1.75
10,266,570,61,2
11,142,278,34,1
12,148,522,59,1.25
13,824,622,119,1.5
14,311,107,32,1.75
15,884,784,119,2
16,316,627,57,1
17,201,622,59,1.25
18,87,624,63,1.5
19,203,540,59,1.75
20,926,806,122,2
21,124,71,27,1
22,119,139,35,1.25
23,186,604,60,1.5
24,812,660,119,1.75
25,839,708,118,2
26,205,581,60,1
27,223,687,58,1.25
28,140,621,62,1.5
29,883,738,121,1.75
30,200,125,39,2
31,889,751,120,1
32,310,55,32,1.25
33,191,163,38,1.5
34,271,568,56,1.75
35,833,695,118,2
36,312,711,58,1
37,882,647,121,1.25
38,241,651,61,1.5
39,866,780,119,1.75
40,993,698,0,2
41,258,428,0,1
42,535,160,12,1.25
43,1000,55,0,1.5
44,783,335,24,1.75
45,38,581,0,2
46,669,864,18,1
47,728,29,12,1.25
48,168,347,12,1.5
49,416,610,0,1.75
50,561,54,0,2
