user_id,x_m,y_m,z_m,demand
1,389,565,119,1
2,119,351,121,1.25
3,371,897,116,1.5
4,620,490,122,1.75
5,557,172,120,2
6,410,693,121,1
7,33,443,122,1.25
8,254,337,123,1.5
9,581,746,61,1.75
10,247,411,126,2
11,649,608,57,1
12,385,799,118,1.25
13,473,195,121,1.5
14,393,758,125,1.75
15,486,191,120,2
16,95,439,120,1
17,514,523,121,1.25
18,601,167,125,1.5
19,608,88,118,1.75
20,367,785,123,2
21,494,517,120,1
22,661,690,67,1.25
23,626,715,63,1.5
24,579,600,121,1.75
25,490,446,120,2
26,408,91,118,1
27,636,526,62,1.25
28,441,852,124,1.5
29,418,738,117,1.75
30,202,188,116,2
31,380,654,116,1
32,580,583,60,1.25
33,372,179,118,1.5
34,404,31,119,1.75
35,671,846,64,2
36,415,285,123,1
37,560,560,61,1.25
38,101,181,113,1.5
39,531,466,122,1.75
40,232,302,123,2
41,595,148,118,1
42,743,690,61,1.25
43,506,796,121,1.5
44,375,518,120,1.75
45,368,262,120,2
46,386,656,117,1
47,283,345,115,1.25
48,297,412,119,1.5
49,507,556,117,1.75
50,491,682,126,2
51,36,273,115,1
52,293,790,117,1.25
53,373,692,123,1.5
54,470,523,117,1.75
55,447,610,122,2
56,441,660,121,1
57,752,712,59,1.25
58,455,297,118,1.5
59,369,816,120,1.75
60,219,365,120,2
61,561,689,59,1
62,509,680,120,1.25
63,373,571,119,1.5
64,88,194,120,1.75
65,371,735,117,2
66,190,241,119,1
67,370,183,116,1.25
68,438,240,120,1.5
69,324,676,120,1.75
70,449,669,118,2
71,421,89,123,1
72,647,673,54,1.25
73,515,664,117,1.5
74,146,381,118,1.75
75,487,219,125,2
76,594,231,119,1
77,396,860,121,1.25
78,390,853,120,1.5
79,622,652,57,1.75
80,551,776,58,2
81,136,351,119,1
82,525,0,119,1.25
83,473,493,120,1.5
84,553,129,120,1.75
85,695,620,59,2
86,203,441,119,1
87,545,785,59,1.25
88,738,704,59,1.5
89,384,863,117,1.75
90,312,294,116,2
91,509,671,117,1
92,84,423,123,1.25
93,129,322,119,1.5
94,212,192,119,1.75
95,178,322,116,2
96,406,746,116,1
97,518,627,125,1.25
98,695,682,56,1.5
99,776,643,62,1.75
100,364,481,119,2
101,557,83,118,1
102,439,652,121,1.25
103,421,886,126,1.5
104,495,575,64,1.75
105,103,239,118,2
106,326,757,118,1
107,670,800,61,1.25
108,585,593,118,1.5
109,673,712,58,1.75
110,392,892,123,2
111,143,331,124,1
112,578,627,54,1.25
113,226,342,124,1.5
114,354,828,119,1.75
115,637,461,119,2
116,174,395,124,1
117,509,649,59,1.25
118,135,304,114,1.5
119,598,628,58,1.75
120,542,794,66,2
121,656,858,60,1
122,276,791,118,1.25
123,649,892,64,1.5
124,484,663,63,1.75
125,444,256,122,2
126,133,400,119,1
127,445,350,127,1.25
128,416,912,122,1.5
129,328,710,119,1.75
130,582,793,61,2
131,434,540,118,1
132,328,701,120,1.25
133,556,242,117,1.5
134,591,631,114,1.75
135,591,730,61,2
136,406,643,122,1
137,209,302,119,1.25
138,52,335,122,1.5
139,431,794,119,1.75
140,86,305,121,2
141,459,434,116,1
142,547,158,120,1.25
143,131,364,117,1.5
144,483,462,124,1.75
145,497,183,120,2
146,502,199,118,1
147,274,261,121,1.25
148,616,571,126,1.5
149,787,743,63,1.75
150,94,344,126,2
151,570,556,118,1
152,348,603,117,1.25
153,318,334,119,1.5
154,328,718,124,1.75
155,67,402,121,2
156,128,333,121,1
157,545,212,124,1.25
158,196,314,119,1.5
159,532,228,116,1.75
160,360,618,123,2
161,513,600,114,1
162,545,335,121,1.25
163,329,732,124,1.5
164,589,202,122,1.75
165,393,865,118,2
166,169,188,125,1
