user_id,x_m,y_m,z_m,demand
1,425,537,11,1
2,797,423,39,1.25
3,450,541,15,1.5
4,732,782,0,1.75
5,265,477,120,2
6,134,421,117,1
7,260,385,120,1.25
8,456,613,14,1.5
9,166,378,124,1.75
10,328,433,11,2
11,715,307,38,1
12,695,197,38,1.25
13,327,525,122,1.5
14,459,368,118,1.75
15,257,274,117,2
16,644,688,0,1
17,394,490,14,1.25
18,645,638,0,1.5
19,371,462,120,1.75
20,620,722,0,2
21,663,733,0,1
22,634,732,0,1.25
23,586,658,0,1.5
24,524,752,0,1.75
25,522,619,0,2
26,757,346,38,1
27,838,344,38,1.25
28,637,617,0,1.5
29,835,378,32,1.75
30,409,494,11,2
31,812,338,33,1
32,794,192,38,1.25
33,475,642,16,1.5
34,749,296,36,1.75
35,595,598,0,2
36,655,328,36,1
37,562,539,0,1.25
38,278,557,120,1.5
39,513,573,0,1.75
40,337,367,116,2
41,786,216,37,1
42,252,514,121,1.25
43,188,463,119,1.5
44,608,688,0,1.75
45,813,314,39,2
46,412,573,12,1
47,625,358,35,1.25
48,785,297,38,1.5
49,126,388,120,1.75
50,268,422,120,2
51,625,533,12,1
52,349,468,122,1.25
53,393,460,10,1.5
54,241,397,117,1.75
55,462,489,14,2
56,635,695,0,1
57,527,483,10,1.25
58,752,772,0,1.5
59,294,526,7,1.75
60,668,838,0,2
61,736,366,39,1
62,731,632,0,1.25
63,575,709,0,1.5
64,168,453,117,1.75
65,880,334,39,2
66,779,341,33,1
67,688,682,0,1.25
68,487,520,14,1.5
69,807,350,41,1.75
70,660,777,0,2
71,289,276,119,1
72,272,359,123,1.25
73,377,452,13,1.5
74,748,429,38,1.75
75,677,569,0,2
76,746,575,0,1
77,321,496,127,1.25
78,401,477,8,1.5
79,278,462,121,1.75
80,498,500,12,2
81,677,399,30,1
82,541,312,16,1.25
83,277,279,115,1.5
84,700,714,0,1.75
85,349,431,120,2
86,877,283,39,1
87,717,310,33,1.25
88,633,709,0,1.5
89,649,711,0,1.75
90,310,368,116,2
91,275,440,119,1
92,208,385,118,1.25
93,268,355,117,1.5
94,161,446,124,1.75
95,577,758,0,2
96,670,727,0,1
97,871,440,39,1.25
98,580,695,0,1.5
99,804,411,42,1.75
100,790,219,38,2
101,559,713,0,1
102,307,536,9,1.25
103,249,374,121,1.5
104,512,474,11,1.75
105,771,418,35,2
106,567,690,0,1
107,220,485,122,1.25
108,267,302,122,1.5
109,387,456,14,1.75
110,330,459,7,2
111,288,346,119,1
112,356,431,117,1.25
113,632,830,0,1.5
114,629,747,0,1.75
115,651,766,0,2
116,610,657,0,1
117,679,779,0,1.25
118,258,413,120,1.5
119,695,454,33,1.75
120,817,307,31,2
121,614,808,0,1
122,849,404,36,1.25
123,856,221,37,1.5
124,215,580,120,1.75
125,787,382,37,2
126,310,337,120,1
127,772,618,0,1.25
128,722,474,0,1.5
129,155,445,123,1.75
130,292,410,119,2
131,606,308,41,1
132,715,639,0,1.25
133,376,600,8,1.5
134,362,621,14,1.75
135,658,727,0,2
136,768,312,41,1
137,389,542,13,1.25
138,470,413,12,1.5
